Experiment,Bits,Top-1(%),Macro-F1,Drop(pp),n01,n10,chi2,p-value,Sig?
LN-FP32（架構效應對照）,32,74.27,0.7414,-11.577,1698,574,555.074,0.0,* sig
FP16,16,62.69,0.6234,0.0,2,2,0.25,0.6171,n.s.
PTQ INT4,4,51.27,0.5101,11.422,320,1429,701.923,0.0,* sig
PTQ INT6,6,62.19,0.6183,0.505,143,192,6.878,0.0087,* sig
PTQ INT8,8,62.61,0.6225,0.082,41,49,0.544,0.4606,n.s.
PTQ INT12,12,62.72,0.6237,-0.021,4,2,0.167,0.6831,n.s.
PTQ INT16,16,62.7,0.6236,-0.01,1,0,0.0,1.0,n.s.
INT8 PT,8,62.14,0.6178,0.556,116,170,9.822,0.0017,* sig
INT8 PC,8,62.61,0.6225,0.082,41,49,0.544,0.4606,n.s.
INT8 PB,8,61.93,0.6162,0.762,174,248,12.628,0.0004,* sig
INT12 PT,12,62.74,0.6239,-0.041,10,6,0.562,0.4533,n.s.
INT12 PC,12,62.72,0.6237,-0.021,4,2,0.167,0.6831,n.s.
INT12 PB,12,62.69,0.6234,0.0,12,12,0.042,0.8383,n.s.
INT16 PT,16,62.72,0.6237,-0.021,2,0,0.5,0.4795,n.s.
INT16 PC,16,62.7,0.6236,-0.01,1,0,0.0,1.0,n.s.
INT16 PB,16,62.7,0.6236,-0.01,1,0,0.0,1.0,n.s.
INT8 Cal:MinMax,8,62.61,0.6225,0.082,41,49,0.544,0.4606,n.s.
INT8 Cal:Pct-99.9%,8,62.14,0.6181,0.556,136,190,8.617,0.0033,* sig
INT8 Cal:Pct-99.99%,8,62.62,0.623,0.072,43,50,0.387,0.5338,n.s.
MP: INT8+FP32,8+mix,62.67,0.6233,0.021,33,35,0.015,0.9035,n.s.
MP: INT8+INT16,8+mix,62.66,0.6232,0.031,33,36,0.058,0.8097,n.s.
MP: INT8+INT12,8+mix,62.66,0.6232,0.031,35,38,0.055,0.8149,n.s.
QAT-STE INT4,4,61.22,0.608,1.473,368,511,22.94,0.0,* sig
QAT-STE INT6,6,63.24,0.6291,-0.546,199,146,7.838,0.0051,* sig
QAT-STE INT8,8,63.24,0.6289,-0.546,163,110,9.905,0.0016,* sig
QAT-STE INT12,12,63.35,0.6298,-0.659,162,98,15.265,0.0001,* sig
QAT-STE INT16,16,63.2,0.6287,-0.505,154,105,8.896,0.0029,* sig
